id,method,label,ref_pdb,pred_pdb,vh,vl,base_pdb_id
7QT0,AlphaFold3,af3_best_model_0,/Users/tinaganjipour/Documents/UMCU/2. The project/ab-difficulty/rmsd/rcsb_pdb/7QT0.pdb,af3_output/7qt0/fold_7qt0_model_0.cif,A,B,7QT0
7QT3,AlphaFold3,af3_best_model_0,/Users/tinaganjipour/Documents/UMCU/2. The project/ab-difficulty/rmsd/rcsb_pdb/7QT3.pdb,af3_output/7qt3/fold_7qt3_model_0.cif,A,B,7QT3
7SJS,AlphaFold3,af3_best_model_0,/Users/tinaganjipour/Documents/UMCU/2. The project/ab-difficulty/rmsd/rcsb_pdb/7SJS.pdb,af3_output/7sjs/fold_7sjs_model_0.cif,H,L,7SJS
7SL5,AlphaFold3,af3_best_model_0,/Users/tinaganjipour/Documents/UMCU/2. The project/ab-difficulty/rmsd/rcsb_pdb/7SL5.pdb,af3_output/7sl5/fold_7sl5_model_0.cif,A,B,7SL5
7SUE,AlphaFold3,af3_best_model_0,/Users/tinaganjipour/Documents/UMCU/2. The project/ab-difficulty/rmsd/rcsb_pdb/7SUE.pdb,af3_output/7sue/fold_7sue_model_0.cif,B,A,7SUE
7T7B,AlphaFold3,af3_best_model_0,/Users/tinaganjipour/Documents/UMCU/2. The project/ab-difficulty/rmsd/rcsb_pdb/7T7B.pdb,af3_output/7t7b/fold_7t7b_model_0.cif,H,L,7T7B
7TOW,AlphaFold3,af3_best_model_0,/Users/tinaganjipour/Documents/UMCU/2. The project/ab-difficulty/rmsd/rcsb_pdb/7TOW.pdb,af3_output/7tow/fold_7tow_model_0.cif,A,B,7TOW
7TP3,AlphaFold3,af3_best_model_0,/Users/tinaganjipour/Documents/UMCU/2. The project/ab-difficulty/rmsd/rcsb_pdb/7TP3.pdb,af3_output/7tp3/fold_7tp3_model_0.cif,H,L,7TP3
7TTM,AlphaFold3,af3_best_model_0,/Users/tinaganjipour/Documents/UMCU/2. The project/ab-difficulty/rmsd/rcsb_pdb/7TTM.pdb,af3_output/7ttm/fold_7ttm_model_0.cif,H,L,7TTM
7U0E,AlphaFold3,af3_best_model_0,/Users/tinaganjipour/Documents/UMCU/2. The project/ab-difficulty/rmsd/rcsb_pdb/7U0E.pdb,af3_output/7u0e/fold_7u0e_model_0.cif,A,B,7U0E
7UM3,AlphaFold3,af3_best_model_0,/Users/tinaganjipour/Documents/UMCU/2. The project/ab-difficulty/rmsd/rcsb_pdb/7UM3.pdb,af3_output/7um3/fold_7um3_model_0.cif,H,L,7UM3
7UM3_2,AlphaFold3,af3_best_model_0,/Users/tinaganjipour/Documents/UMCU/2. The project/ab-difficulty/rmsd/rcsb_pdb/7UM3.pdb,af3_output/7um3_2/fold_7um3_model_0.cif,H,L,7UM3
7UXL,AlphaFold3,af3_best_model_0,/Users/tinaganjipour/Documents/UMCU/2. The project/ab-difficulty/rmsd/rcsb_pdb/7UXL.pdb,af3_output/7uxl/fold_7uxl_model_0.cif,F,E,7UXL
7X8P,AlphaFold3,af3_best_model_0,/Users/tinaganjipour/Documents/UMCU/2. The project/ab-difficulty/rmsd/rcsb_pdb/7X8P.pdb,af3_output/7x8p/fold_7x8p_model_0.cif,C,B,7X8P
7X8T,AlphaFold3,af3_best_model_0,/Users/tinaganjipour/Documents/UMCU/2. The project/ab-difficulty/rmsd/rcsb_pdb/7X8T.pdb,af3_output/7x8t/fold_7x8t_model_0.cif,C,B,7X8T
7YZJ,AlphaFold3,af3_best_model_0,/Users/tinaganjipour/Documents/UMCU/2. The project/ab-difficulty/rmsd/rcsb_pdb/7YZJ.pdb,af3_output/7yzj/fold_7yzj_model_0.cif,H,L,7YZJ
8BYU,AlphaFold3,af3_best_model_0,/Users/tinaganjipour/Documents/UMCU/2. The project/ab-difficulty/rmsd/rcsb_pdb/8BYU.pdb,af3_output/8byu/fold_8byu_model_0.cif,H,L,8BYU
8D36,AlphaFold3,af3_best_model_0,/Users/tinaganjipour/Documents/UMCU/2. The project/ab-difficulty/rmsd/rcsb_pdb/8D36.pdb,af3_output/8d36/fold_8d36_model_0.cif,H,L,8D36
8DAO,AlphaFold3,af3_best_model_0,/Users/tinaganjipour/Documents/UMCU/2. The project/ab-difficulty/rmsd/rcsb_pdb/8DAO.pdb,af3_output/8dao/fold_8dao_model_0.cif,C,D,8DAO
8FA7,AlphaFold3,af3_best_model_0,/Users/tinaganjipour/Documents/UMCU/2. The project/ab-difficulty/rmsd/rcsb_pdb/8FA7.pdb,af3_output/8fa7/fold_8fa7_model_0.cif,H,L,8FA7
8G19,AlphaFold3,af3_best_model_0,/Users/tinaganjipour/Documents/UMCU/2. The project/ab-difficulty/rmsd/rcsb_pdb/8G19.pdb,af3_output/8g19/fold_8g19_model_0.cif,H,L,8G19
8G8D,AlphaFold3,af3_best_model_0,/Users/tinaganjipour/Documents/UMCU/2. The project/ab-difficulty/rmsd/rcsb_pdb/8G8D.pdb,af3_output/8g8d/fold_8g8d_model_0.cif,A,B,8G8D
8HRD,AlphaFold3,af3_best_model_0,/Users/tinaganjipour/Documents/UMCU/2. The project/ab-difficulty/rmsd/rcsb_pdb/8HRD.pdb,af3_output/8hrd/fold_8hrd_model_0.cif,C,E,8HRD
8P6H,AlphaFold3,af3_best_model_0,/Users/tinaganjipour/Documents/UMCU/2. The project/ab-difficulty/rmsd/rcsb_pdb/8P6H.pdb,af3_output/8p6h/fold_8p6h_model_0.cif,H,L,8P6H
8QYA,AlphaFold3,af3_best_model_0,/Users/tinaganjipour/Documents/UMCU/2. The project/ab-difficulty/rmsd/rcsb_pdb/8QYA.pdb,af3_output/8qya/fold_8qya_model_0.cif,H,L,8QYA
8SIT,AlphaFold3,af3_best_model_0,/Users/tinaganjipour/Documents/UMCU/2. The project/ab-difficulty/rmsd/rcsb_pdb/8SIT.pdb,af3_output/8sit/fold_8sit_model_0.cif,M,N,8SIT
8SIT_2,AlphaFold3,af3_best_model_0,/Users/tinaganjipour/Documents/UMCU/2. The project/ab-difficulty/rmsd/rcsb_pdb/8SIT.pdb,af3_output/8sit_2/fold_8sit_model_0.cif,M,N,8SIT
8T58,AlphaFold3,af3_best_model_0,/Users/tinaganjipour/Documents/UMCU/2. The project/ab-difficulty/rmsd/rcsb_pdb/8T58.pdb,af3_output/8t58/fold_8t58_model_0.cif,C,B,8T58
8T58_2,AlphaFold3,af3_best_model_0,/Users/tinaganjipour/Documents/UMCU/2. The project/ab-difficulty/rmsd/rcsb_pdb/8T58.pdb,af3_output/8t58_2/fold_8t58_model_0.cif,C,B,8T58
8T7G,AlphaFold3,af3_best_model_0,/Users/tinaganjipour/Documents/UMCU/2. The project/ab-difficulty/rmsd/rcsb_pdb/8T7G.pdb,af3_output/8t7g/fold_8t7g_model_0.cif,A,B,8T7G
8T9Y,AlphaFold3,af3_best_model_0,/Users/tinaganjipour/Documents/UMCU/2. The project/ab-difficulty/rmsd/rcsb_pdb/8T9Y.pdb,af3_output/8t9y/fold_8t9y_model_0.cif,H,L,8T9Y
8TDX,AlphaFold3,af3_best_model_0,/Users/tinaganjipour/Documents/UMCU/2. The project/ab-difficulty/rmsd/rcsb_pdb/8TDX.pdb,af3_output/8tdx/fold_8tdx_model_0.cif,A,D,8TDX
8TV1,AlphaFold3,af3_best_model_0,/Users/tinaganjipour/Documents/UMCU/2. The project/ab-difficulty/rmsd/rcsb_pdb/8TV1.pdb,af3_output/8tv1/fold_8tv1_model_0.cif,D,E,8TV1
8VDL,AlphaFold3,af3_best_model_0,/Users/tinaganjipour/Documents/UMCU/2. The project/ab-difficulty/rmsd/rcsb_pdb/8VDL.pdb,af3_output/8vdl/fold_8vdl_model_0.cif,H,L,8VDL
8YXI,AlphaFold3,af3_best_model_0,/Users/tinaganjipour/Documents/UMCU/2. The project/ab-difficulty/rmsd/rcsb_pdb/8YXI.pdb,af3_output/8yxi/fold_8yxi_model_0.cif,C,B,8YXI
9AXQ,AlphaFold3,af3_best_model_0,/Users/tinaganjipour/Documents/UMCU/2. The project/ab-difficulty/rmsd/rcsb_pdb/9AXQ.pdb,af3_output/9axq/fold_9axq_model_0.cif,A,B,9AXQ
9BDI,AlphaFold3,af3_best_model_0,/Users/tinaganjipour/Documents/UMCU/2. The project/ab-difficulty/rmsd/rcsb_pdb/9BDI.pdb,af3_output/9bdi/fold_9bdi_model_0.cif,C,D,9BDI
9BJG,AlphaFold3,af3_best_model_0,/Users/tinaganjipour/Documents/UMCU/2. The project/ab-difficulty/rmsd/rcsb_pdb/9BJG.pdb,af3_output/9bjg/fold_9bjg_model_0.cif,H,L,9BJG
9DX6,AlphaFold3,af3_best_model_0,/Users/tinaganjipour/Documents/UMCU/2. The project/ab-difficulty/rmsd/rcsb_pdb/9DX6.pdb,af3_output/9dx6/fold_9dx6_model_0.cif,B,C,9DX6
